Job Title,Company,Location,Required Skills,Years of Experience Required,Shortened Job Description,Date Posted,URL
Artificial Intelligence (AI) Engineer,Robert Half,"Tampa, FL","TensorFlow, PyTorch, Machine Learning, Scikit-learn, Keras",2-4 years,"We are looking for a skilled Artificial Intelligence (AI) Engineer to join our team in Tampa, Florida. This role offers the opportunity to design and implement innovative AI solutions while collaborating with cross-functional teams to drive impactful results. As a Contract to permanent position, this role provides a pathway to long-term growth and development within our organization.Responsibilities:• Build, train, and refine machine learning models using frameworks such as TensorFlow, PyTorch, Scikit-Learn, and Keras.• Integrate AI-driven solutions into existing on-premises applications to enhance functionality and performance.• Explore and experiment with large language models (LLMs) and agent-based coding tools to optimize internal automation and analytics workflows.• Process, engineer, and evaluate data from diverse internal sources, including structured and unstructured datasets.• Collaborate with teams across departments to ensure compliance with Criminal Justice Information Systems (CJIS) and Personally Identifiable Information (PII) standards.• Partner with analysts, investigators, and IT staff to identify opportunities where AI can provide operational improvements.• Participate in coding reviews and testing processes to ensure high-quality deliverables.• Stay updated on emerging AI technologies and prototype new tools while adhering to data governance standards.• Contribute to the continuous improvement of AI systems and processes by identifying areas for innovation and optimization.
Develop and deploy machine learning models for predictive analytics.
Work with large datasets to build scalable AI solutions.
Collaborate with cross-functional teams to improve data pipelines.
Implement deep learning algorithms using Python frameworks.",2026-03-04,https://www.roberthalf.com/us/en/job/tampa-fl/artificial-intelligence-ai-engineer/01070-0013395122-usen?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Applied AI Engineer-Vice President,JPMC Candidate Experience page,"Delaware, OH","Python, Machine Learning, AWS",5+ years,"As Applied AI Engineer-Vice President at JPMorganChase within the Consumer & Community Banking Machine Learning, you are an integral part of an agile team that works to enhance, build, and deliver trusted market-leading technology products in a secure, stable, and scalable way. Drive significant business impact through your capabilities and contributions, and apply deep technical expertise and problem-solving methodologies to tackle a diverse array of challenges that span multiple technologies and applications.
• Regularly provides technical guidance and direction to support the business and its technical teams, contractors, and vendors
• Develops secure and high-quality production code, and reviews and debugs code written by others
• Drives decisions that influence the product design, application functionality, and technical operations and processes
• Serves as a function-wide subject matter expert in one or more areas of focus
• Actively contributes to the engineering community as an advocate of firmwide frameworks, tools, and practices of the Software Development Life Cycle
• Influences peers and project decision-makers to consider the use and application of leading-edge technologies
• Drive innovation in machine learning solutions, ensuring scalability, flexibility, and future-proof architecture",2026-03-04,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/cx_1001/job/210694885?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
AI Platform Engineering Manager,Allstate,"Remote, OR","Python, AWS, Data Science",8+ years,"At Allstate, great things happen when our people work together to protect families and their belongings from life's uncertainties. And for more than 90 years, our innovative drive has kept us a step ahead of our customers' evolving needs. From advocating for seat belts, air bags and graduated driving laws, to being an industry leader in pricing sophistication, telematics, and, more recently, device and identity protection.
Allstate's Data & Analytics Technology team is seeking an AI Platform Engineering Manager to lead a high-performing engineering team responsible for building, scaling, and operating enterprise-grade Generative AI platforms. In this role, you'll provide both people leadership and technical direction across GenAI platform architecture, cloud-native services (Azure), Large Language Model (LLM) enablement, MLOps/LLMOps, and modern Agile delivery practices.
You will shape the foundational capabilities that enable secure, scalable, and responsible AI adoption across the enterprise. You'll drive platform strategy, influence architectural decisions, and partner closely with product, data science, security, and business teams to accelerate innovation while ensuring reliability, governance, and operational excellence.
• Lead, coach, and develop a team of platform and AI engineers, fostering a culture of technical excellence, ownership, and continuous improvement.
• Provide hands-on technical leadership and architectural guidance for GenAI platform services, including LLM orchestration, prompt management, vector search, embeddings, and model integration.
• Define and evolve the GenAI platform roadmap to support enterprise use cases, balancing speed of innovation with scalability, security, and cost efficiency.
• Drive adoption of cloud-native and Azure-based architectures, including containerization, Kubernetes, CI/CD, infrastructure-as-code, and observability.
• Establish and mature LLMOps/MLOps practices, including model lifecycle management, monitoring, evaluation, versioning, and responsible AI controls.",2026-03-05,"https://www.ziprecruiter.com/c/Allstate/Job/AI-Platform-Engineering-Manager/-in-Remote,OR?jid=e9d46ce68d36baab&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Senior AI Data and Evaluation Engineer,Stryker,"Menlo Park, CA","Python, TensorFlow, PyTorch, Machine Learning, Data Analysis, Scikit-learn, Statistics",2-4 years,"We are looking for an experienced and highly skilled Senior AI Data and Validation Engineer. A successful candidate will be responsible for both dry and wet lab experiments for AI functionality acquiring datasets, developing labeling guidelines, and preparing dataset for AI model development. Also, candidate will be responsible for developing methods and processes for scientific evaluation of AI/ML models used in medical devices, ensuring compliance with all applicable FDA guidelines and regulations. This role is crucial for maintaining the safety, effectiveness, and quality of AI-enabled medical devices throughout their product lifecycle from initial training to final validation. The engineer will contribute to the design, execution, and analysis of validation studies, ensuring that the devices perform predictably and reliably for their intended use and across all relevant demographic groups., placing a strong emphasis on comprehensive data management practices, including data collection, processing, annotation, storage, and use. This includes ensuring data integrity, quality, and representativeness to mitigate potential biases and demonstrate the safety, effectiveness, and quality of AI-enabled medical devices throughout their lifecycle.
• Perform dataset collection, develop, synthesis, generation, preparing datasets for AI development, stress testing and validation.
• Execute web lab experiments that interact with human blood samples with good laboratory practice.
• Create detailed validation plans, protocols, and reports for AI-enabled medical device software functions encompassing both performance validation and model evaluation.
• Perform Data Operation such as management of data used in both the development and validation of AI models, ensuring the quality, diversity, and independence of datasets . This involves assessing data representativeness, addressing potential biases, and ensuring the appropriate separation of training and test datasets
• Conduct comprehensive risk assessment for AI models, considering potential and unintended biases, limitations, and cybersecurity vulnerabilities
• Conduct rigorous performance validation studies, analyzing performance across different subgroups of the intended user population .
• Perform analysis to address transparency and bias throughout the device lifecycle, from design to post-market surveillance . This includes evaluating whether a device benefits all relevant demographic groups similarly and incorporating transparency into device design",2026-02-25,https://careers.stryker.com/senior-ai-data-and-evaluation-engineer/job/84B121D6A94DEF7D9FDB3FDFB5EB5EAC?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Senior Security Artificial Intelligence Engineer,Atlas,"San Angelo, TX",Python,8+ years,"Senior Security AI Engineer
We are seeking a Senior Security AI Engineer to design and build AI-enabled security solutions and automations across enterprise security domains, including security operations, cloud and infrastructure security, identity and access management, and application security.
This role is focused on hands-on engineering and solution delivery. The successful candidate will work on complex security challenges, determine the appropriate use of AI, automation, or traditional engineering approaches, and implement secure, production-grade solutions in real-world environments.
AI-Enabled Security Engineering
• Design and build AI-assisted security solutions, including agent-style workflows, decision services, and intelligent automations.
• Translate complex or ambiguous security problems into engineered, production-ready solutions.
• pply sound engineering judgment to determine when AI, automation, or deterministic logic is most appropriate.
Systems Integration & Automation",2026-03-05,https://jobs.kget.com/jobs/senior-security-artificial-intelligence-engineer-san-angelo-texas/2650539795-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
AI Engineer,Relay Human Cloud,"Dallas, TX","Python, TensorFlow, PyTorch, Machine Learning, NLP, AWS, Data Science, Neural Networks",2-4 years,"The AI Engineer in the real estate sector plays a pivotal role in designing, developing, and implementing advanced artificial intelligence solutions to optimize property management, valuation, and customer engagement processes. This role involves collaborating closely with data scientists, software developers, and real estate analysts to create predictive models, automate workflows, and enhance decision-making through machine learning and natural language processing technologies. The AI Engineer ensures compliance with relevant data privacy regulations and integrates AI systems with existing real estate platforms to drive innovation and operational efficiency across various business units.
Duties & Responsibilities
• Design, develop, and deploy AI models and algorithms tailored to real estate applications such as property valuation, predictive analytics, and customer behavior analysis.
• Collaborate with data scientists, software engineers, and business stakeholders to integrate AI solutions into existing platforms and workflows.
• Analyze large datasets to extract actionable insights and improve model accuracy and performance.
• Maintain and optimize AI systems to ensure scalability, reliability, and compliance with industry regulations.
• Stay current with emerging AI technologies and real estate market trends to recommend innovative solutions.
• Document AI development processes and provide technical support and training to team members.",2026-02-23,https://www.relayhumancloud.com/jobs/ai-engineer/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
AI Solutions Architect / Field Application Engineer,"Advanced Micro Devices, Inc","Austin, TX","Python, TensorFlow, PyTorch, AWS",2-4 years,"WHAT YOU DO AT AMD CHANGES EVERYTHING
At AMD, our mission is to build great products that accelerate next-generation computing experiences—from AI and data centers, to PCs, gaming and embedded systems. Grounded in a culture of innovation and collaboration, we believe real progress comes from bold ideas, human ingenuity and a shared passion to create something extraordinary. When you join AMD, you’ll discover the real differentiator is our culture. We push the limits of innovation to solve the world’s most important challenges—striving for execution excellence, while being direct, humble, collaborative, and inclusive of diverse perspectives. Join us as we shape the future of AI and beyond. Together, we advance your career.
We are looking for an AI enthusiast with strong technical fundamentals and customer-facing aptitude to join AMD as an AI Solutions Architect / Field Application Engineer. This is a frontline, tip-of-the-spear role where you will work closely with customers, internal engineering teams, and ecosystem partners to help deploy, optimize, and scale AI and high-performance workloads on AMD CPU and GPU platforms.
This role blends hands-on systems work, AI workload enablement, and technical program management. You will help customers move from early exploration through proof-of-concept and into production, while acting as a technical bridge between field requirements and internal AMD teams.
Does this sound like you? We’d love to talk!
• Excellent problem-solving, time-management, prioritization, and organizational skills, able to lead complex problems, involving multi-disciplined, multi-functional teams and many priorities at once
• A standout colleague with excellent collaborative skills, and ability to work independently or as part of a team
• Outstanding oral and written communication skills and demonstrated success in building strong technical relationships (internal: Sales, Marketing, Engineering and external: OEM)",2026-02-16,https://careers.amd.com/careers-home/jobs/78618?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Software Engineer – Forward Deployed AI (New Grad),Promise,"Oakland, CA","Python, Data Analysis, AWS",2-4 years,"Promise modernizes how government agencies and utilities support people in financial difficulty. We build technology that makes it simple for residents to receive benefits, engage with assistance programs, set up flexible payment plans, and stay on track—while helping agencies increase efficiency, recover revenue, and deliver services with dignity. Our mission is to transform public systems so they work better for everyone, especially the most vulnerable.
Our team includes experts from companies like Palantir, Google, Stripe , and esteemed government leaders. We work hard and believe deeply in what we do. We're looking for excellent people to build innovative, resilient technology.
Backed by over $50 million in funding from top investors – such as Reid Hoffman, Howard Schultz, Michael Seibel, Y Combinator, 8VC, The General Partnership, First Round Capital, Kapor Capital, XYZ Ventures, and Bronze Investments – Promise has been recognized as one of Fast Company's ""World's Most Innovative Companies of 2022,” “Forbes Next Billion-Dollar Startups 2024,” and Y Combinator’s #1 GovTech startup.
We’re looking for a mission-driven engineer who wants to make real-world impact—fast.
At Promise, we help low-income families catch up on bills and access the financial relief they deserve. Our technology connects governments, utilities, and people—turning complex systems into simple, dignified experiences.
As a Software Engineer – Forward Deployed AI, you’ll sit at the intersection of software engineering, customer engagement, and applied AI. You’ll work hands-on with our partners to bring AI-powered solutions to life—building integrations, automations, and data workflows that help deliver public aid faster and more equitably.
This is a role for someone who loves to build, experiment, and collaborate directly with customers. You’ll see your code make a difference on day one—and you’ll learn how to bridge deep tech and human impact.
• Deploy with purpose: Work hand-in-hand with public agencies and utilities to integrate Promise’s technology into real-world systems.",2026-03-06,https://jobs.ashbyhq.com/Promise/f0a30718-faf0-4a34-8759-0d6335fa365a?ashby_jid=2fd873ec-cab4-4958-9bb3-035bcdc86e8e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
AI Machine Learning Engineer,Children's Healthcare of Atlanta,"Brookhaven, GA","Python, TensorFlow, PyTorch, SQL, Machine Learning, Scikit-learn, AWS, Spark, Data Science, Data Engineering",2-4 years,"Note: If you are CURRENTLY employed at Children's and/or have an active badge or network access, STOP here. Submit your application via Workday using the Career App (Find Jobs).
Friday, Monday, Thursday, Tuesday, Wednesday
Children’s is one of the nation’s leading children’s hospitals. No matter the role, every member of our team is an essential part of our mission to make kids better today and healthier tomorrow. We’re committed to putting you first, and that commitment is at the heart of our company culture: People first. Children always. Find your next career opportunity and make a difference doing what you love at Children’s.
The AI Machine Learning Engineer bridges the gap between data science and implementation. They support data scientists and clinical informaticists in the development, deployment and maintenance of production-grade applications that leverage Machine Learning (ML) and Artificial Intelligence (AI). They partner with clinicians, subject matter experts, analytics developers, researchers, and data engineers to ensure that the delivered solutions provide actionable real-time insights that are in line with the system’s clinical, financial and operational goals. They work closely with analytics leaders and business partners to bring the latest advances in ML and AI systems and processes to advance Children’s overall analytics.
• Must be local and able to work hybrid
• Must be US Citizen or Green Card Holder
• 2 years of experience in a Machine Learning Engineering, Data Science or Data Engineering role
• 1 year of experience in implementing machine learning algorithms in a production environment or applying software development lifecycle principles to analytics",2026-02-18,https://careers.choa.org/us/en/job/R-32994/AI-Machine-Learning-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Gen AI Engineer,AceStack LLC,"Edison, NJ","Python, TensorFlow, PyTorch, Machine Learning, NLP, Keras",2-4 years,"Job Title: Gen AI Engineer
Location - Irving, TX / Tampa, FL / Edison, NJ
Must Have Technical/Functional Skills
- Strong hands-on Python knowledge
- Hands-on experience in developing API Development in Python using FastAPI/ Flask framework
- Working experience in Data Processing, AI enabled workflows using python
- Knowledge of LLM, Prompt Engineering, RAG Architecture, Agentic AI.
- Basic knowledge of Hybrid prompting technique",2026-03-04,https://lensa.com/job-v1/acestack-llc/edison-nj/data-scientist/20ca2c7f8557961b44e85c7ecf099c56?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
